Codi_Barri,Nom_Barri,Any,Superfície (ha)
13,la Marina de Port,2013,125.5
14,la Font de la Guatlla,2013,30.2
15,Hostafrancs,2013,41.0
16,la Bordeta,2013,57.7
17,Sants - Badal,2013,41.1
18,Sants,2013,109.8
19,les Corts,2013,141.3
20,la Maternitat i Sant Ramon,2013,190.3
21,Pedralbes,2013,270.2
22,"Vallvidrera, el Tibidabo i les Planes",2013,1152.2
23,Sarrià,2013,304.2
24,les Tres Torres,2013,78.8
25,Sant Gervasi - la Bonanova,2013,223.5
26,Sant Gervasi - Galvany,2013,165.9
27,el Putxet i el Farró,2013,84.6
28,Vallcarca i els Penitents,2013,120.9
29,el Coll,2013,35.8
30,la Salut,2013,64.3
31,la Vila de Gràcia,2013,132.6
32,el Camp d'en Grassot i Gràcia Nova,2013,65.0
33,el Baix Guinardó,2013,56.0
34,Can Baró,2013,38.4
35,el Guinardó,2013,130.8
36,la Font d'en Fargues,2013,65.7
37,el Carmel,2013,94.2
38,la Teixonera,2013,33.7
39,Sant Genís dels Agudells,2013,171.6
40,Montbau,2013,204.7
41,la Vall d'Hebron,2013,73.6
42,la Clota,2013,17.8
43,Horta,2013,308.2
44,Vilapicina i la Torre Llobeta,2013,56.7
45,Porta,2013,84.1
46,el Turó de la Peira,2013,35.4
47,Can Peguera,2013,12.0
48,la Guineueta,2013,61.1
49,Canyelles,2013,79.3
50,les Roquetes,2013,64.2
51,Verdun,2013,23.7
52,la Prosperitat,2013,59.5
53,la Trinitat Nova,2013,56.0
54,Torre Baró,2013,176.8
55,Ciutat Meridiana,2013,35.5
56,Vallbona,2013,59.8
57,la Trinitat Vella,2013,81.0
58,Baró de Viver,2013,23.0
59,el Bon Pastor,2013,188.2
60,Sant Andreu,2013,184.1
61,la Sagrera,2013,97.2
62,el Congrés i els Indians,2013,40.7
63,Navas,2013,42.3
64,el Camp de l'Arpa del Clot,2013,74.2
65,el Clot,2013,69.6
66,el Parc i la Llacuna del Poblenou,2013,111.4
67,la Vila Olímpica del Poblenou,2013,94.3
68,el Poblenou,2013,154.5
69,Diagonal Mar i el Front Marítim del Poblenou,2013,123.7
70,el Besòs i el Maresme,2013,127.4
71,Provençals del Poblenou,2013,110.5
72,Sant Martí de Provençals,2013,74.5
73,la Verneda i la Pau,2013,112.3
1,el Raval,2012,109.8
2,el Barri Gòtic,2012,84.2
3,la Barceloneta,2012,131.4
4,"Sant Pere, Santa Caterina i la Ribera",2012,111.4
5,el Fort Pienc,2012,92.9
6,la Sagrada Família,2012,105.1
7,la Dreta de l'Eixample,2012,212.3
8,l'Antiga Esquerra de l'Eixample,2012,123.4
9,la Nova Esquerra de l'Eixample,2012,133.8
10,Sant Antoni,2012,80.1
11,el Poble Sec,2012,460.5
12,la Marina del Prat Vermell,2012,1428.4
13,la Marina de Port,2012,125.5
14,la Font de la Guatlla,2012,30.2
15,Hostafrancs,2012,41.0
